"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"	"logRT"	"logRT.winz"	"RT.winz"	"ParRace"	"ParGender"
2	93	"C:\Hannah's FYP\Black14_neu.jpg"	"disgust"	"Black"	"eyes"	"Neg"	121	918	1	0	4	"Con"	6.82219739062049	6.82219739062049	918	NA	NA
2	94	"C:\Hannah's FYP\White14_neu.jpg"	"beauty"	"White"	"eyes"	"Pos"	222	838	2	0	4	"Con"	6.73101810048208	6.73101810048208	838	NA	NA
2	95	"C:\Hannah's FYP\White8_neu.jpg"	"garbage"	"White"	"forehead"	"Neg"	211	1068	1	0	4	"Incon"	6.97354301952014	6.97354301952014	1068	NA	NA
2	96	"C:\Hannah's FYP\White7_neu.jpg"	"vacation"	"White"	"forehead"	"Pos"	212	665	2	0	4	"Con"	6.49978704065585	6.49978704065585	665	NA	NA
2	97	"C:\Hannah's FYP\White12_neu.jpg"	"disgust"	"White"	"eyes"	"Neg"	221	1431	1	0	4	"Incon"	7.26612877955645	7.26612877955645	1431	NA	NA
2	98	"C:\Hannah's FYP\White8_neu.jpg"	"despair"	"White"	"forehead"	"Neg"	211	764	1	0	4	"Incon"	6.63856778916652	6.63856778916652	764	NA	NA
2	99	"C:\Hannah's FYP\White19_neu.jpg"	"cockroach"	"White"	"nose"	"Neg"	231	739	1	0	4	"Incon"	6.6052979209482	6.6052979209482	739	NA	NA
2	100	"C:\Hannah's FYP\Black3_neu.jpg"	"joy"	"Black"	"forehead"	"Pos"	112	612	2	0	4	"Incon"	6.41673228251233	6.41673228251233	612	NA	NA
2	101	"C:\Hannah's FYP\Black1_neu.jpg"	"love"	"Black"	"forehead"	"Pos"	112	677	2	0	4	"Incon"	6.51767127291227	6.51767127291227	677	NA	NA
2	102	"C:\Hannah's FYP\White7_neu.jpg"	"sewage"	"White"	"forehead"	"Neg"	211	682	1	0	4	"Incon"	6.52502965784346	6.52502965784346	682	NA	NA
2	103	"C:\Hannah's FYP\White15_neu.jpg"	"smile"	"White"	"eyes"	"Pos"	222	528	2	0	4	"Con"	6.26909628370626	6.26909628370626	528	NA	NA
2	104	"C:\Hannah's FYP\White17_neu.jpg"	"love"	"White"	"nose"	"Pos"	232	580	2	0	4	"Con"	6.36302810354046	6.36302810354046	580	NA	NA
2	105	"C:\Hannah's FYP\Black3_neu.jpg"	"poison"	"Black"	"forehead"	"Neg"	111	852	1	0	4	"Con"	6.74758652682932	6.74758652682932	852	NA	NA
2	106	"C:\Hannah's FYP\White14_neu.jpg"	"love"	"White"	"eyes"	"Pos"	222	622	2	0	4	"Con"	6.43294009273918	6.43294009273918	622	NA	NA
2	107	"C:\Hannah's FYP\White21_neu.jpg"	"sewage"	"White"	"nose"	"Neg"	231	651	1	0	4	"Incon"	6.47850964220857	6.47850964220857	651	NA	NA
2	108	"C:\Hannah's FYP\Black3_neu.jpg"	"smile"	"Black"	"forehead"	"Pos"	112	639	2	0	4	"Incon"	6.45990445437753	6.45990445437753	639	NA	NA
2	109	"C:\Hannah's FYP\White4_neu.jpg"	"garbage"	"White"	"forehead"	"Neg"	211	622	1	0	4	"Incon"	6.43294009273918	6.43294009273918	622	NA	NA
2	110	"C:\Hannah's FYP\White6_neu.jpg"	"cockroach"	"White"	"forehead"	"Neg"	211	830	1	0	4	"Incon"	6.72142570079064	6.72142570079064	830	NA	NA
2	111	"C:\Hannah's FYP\Black13_neu.jpg"	"vomit"	"Black"	"eyes"	"Neg"	121	749	1	0	4	"Con"	6.61873898351722	6.61873898351722	749	NA	NA
2	112	"C:\Hannah's FYP\Black11_neu.jpg"	"success"	"Black"	"eyes"	"Pos"	122	711	2	0	4	"Incon"	6.56667242980324	6.56667242980324	711	NA	NA
2	113	"C:\Hannah's FYP\Black16_neu.jpg"	"love"	"Black"	"eyes"	"Pos"	122	643	2	0	4	"Incon"	6.46614472423762	6.46614472423762	643	NA	NA
2	114	"C:\Hannah's FYP\Black24_neu.jpg"	"romance"	"Black"	"nose"	"Pos"	132	607	2	0	4	"Incon"	6.4085287910595	6.4085287910595	607	NA	NA
2	115	"C:\Hannah's FYP\White17_neu.jpg"	"paradise"	"White"	"nose"	"Pos"	232	544	2	0	4	"Con"	6.29894924685594	6.29894924685594	544	NA	NA
2	116	"C:\Hannah's FYP\White20_neu.jpg"	"beauty"	"White"	"nose"	"Pos"	232	463	2	0	4	"Con"	6.13772705408623	6.13772705408623	463	NA	NA
2	117	"C:\Hannah's FYP\Black15_neu.jpg"	"joy"	"Black"	"eyes"	"Pos"	122	414	2	0	4	"Incon"	6.02586597382531	6.02586597382531	414	NA	NA
2	118	"C:\Hannah's FYP\Black11_neu.jpg"	"beauty"	"Black"	"eyes"	"Pos"	122	703	2	0	4	"Incon"	6.55535689181067	6.55535689181067	703	NA	NA
2	119	"C:\Hannah's FYP\White9_neu.jpg"	"romance"	"White"	"eyes"	"Pos"	222	603	2	0	4	"Con"	6.40191719672719	6.40191719672719	603	NA	NA
2	120	"C:\Hannah's FYP\Black9_neu.jpg"	"sewage"	"Black"	"eyes"	"Neg"	121	859	1	0	4	"Con"	6.75576892198425	6.75576892198425	859	NA	NA
2	121	"C:\Hannah's FYP\White7_neu.jpg"	"romance"	"White"	"forehead"	"Pos"	212	489	2	0	4	"Con"	6.19236248947487	6.19236248947487	489	NA	NA
2	122	"C:\Hannah's FYP\Black20_neu.jpg"	"romance"	"Black"	"nose"	"Pos"	132	650	2	0	4	"Incon"	6.47697236288968	6.47697236288968	650	NA	NA
2	123	"C:\Hannah's FYP\White10_neu.jpg"	"joy"	"White"	"eyes"	"Pos"	222	585	2	0	4	"Con"	6.37161184723186	6.37161184723186	585	NA	NA
2	124	"C:\Hannah's FYP\Black9_neu.jpg"	"joy"	"Black"	"eyes"	"Pos"	122	658	2	0	4	"Incon"	6.48920493132532	6.48920493132532	658	NA	NA
2	125	"C:\Hannah's FYP\White6_neu.jpg"	"love"	"White"	"forehead"	"Pos"	212	680	2	0	4	"Con"	6.52209279817015	6.52209279817015	680	NA	NA
2	126	"C:\Hannah's FYP\Black13_neu.jpg"	"sewage"	"Black"	"eyes"	"Neg"	121	614	1	0	4	"Con"	6.41999492814714	6.41999492814714	614	NA	NA
2	127	"C:\Hannah's FYP\White3_neu.jpg"	"success"	"White"	"forehead"	"Pos"	212	710	2	0	4	"Con"	6.56526497003536	6.56526497003536	710	NA	NA
2	128	"C:\Hannah's FYP\White14_neu.jpg"	"despair"	"White"	"eyes"	"Neg"	221	710	1	0	4	"Incon"	6.56526497003536	6.56526497003536	710	NA	NA
2	129	"C:\Hannah's FYP\Black13_neu.jpg"	"smile"	"Black"	"eyes"	"Pos"	122	650	2	0	4	"Incon"	6.47697236288968	6.47697236288968	650	NA	NA
2	130	"C:\Hannah's FYP\Black19_neu.jpg"	"beauty"	"Black"	"nose"	"Pos"	132	641	2	0	4	"Incon"	6.46302945692067	6.46302945692067	641	NA	NA
2	131	"C:\Hannah's FYP\Black22_neu.jpg"	"joy"	"Black"	"nose"	"Pos"	132	517	2	0	4	"Incon"	6.24804287450843	6.24804287450843	517	NA	NA
2	132	"C:\Hannah's FYP\Black18_neu.jpg"	"paradise"	"Black"	"nose"	"Pos"	132	601	2	0	4	"Incon"	6.39859493453521	6.39859493453521	601	NA	NA
2	133	"C:\Hannah's FYP\White15_neu.jpg"	"romance"	"White"	"eyes"	"Pos"	222	521	2	0	4	"Con"	6.25575004175337	6.25575004175337	521	NA	NA
2	134	"C:\Hannah's FYP\White17_neu.jpg"	"despair"	"White"	"nose"	"Neg"	231	717	1	0	4	"Incon"	6.57507584059962	6.57507584059962	717	NA	NA
2	135	"C:\Hannah's FYP\Black23_neu.jpg"	"garbage"	"Black"	"nose"	"Neg"	131	694	1	0	4	"Con"	6.5424719605068	6.5424719605068	694	NA	NA
2	136	"C:\Hannah's FYP\White14_neu.jpg"	"garbage"	"White"	"eyes"	"Neg"	221	1079	1	0	4	"Incon"	6.98378996525813	6.98378996525813	1079	NA	NA
2	137	"C:\Hannah's FYP\Black6_neu.jpg"	"paradise"	"Black"	"forehead"	"Pos"	112	771	2	0	4	"Incon"	6.64768837356333	6.64768837356333	771	NA	NA
2	138	"C:\Hannah's FYP\Black5_neu.jpg"	"vacation"	"Black"	"forehead"	"Pos"	112	900	2	0	4	"Incon"	6.80239476332431	6.80239476332431	900	NA	NA
2	139	"C:\Hannah's FYP\Black10_neu.jpg"	"pest"	"Black"	"eyes"	"Neg"	121	849	1	0	4	"Con"	6.74405918631135	6.74405918631135	849	NA	NA
2	140	"C:\Hannah's FYP\White11_neu.jpg"	"smile"	"White"	"eyes"	"Pos"	222	631	2	0	4	"Con"	6.44730586254121	6.44730586254121	631	NA	NA
2	141	"C:\Hannah's FYP\White10_neu.jpg"	"garbage"	"White"	"eyes"	"Neg"	221	654	1	0	4	"Incon"	6.4831073514572	6.4831073514572	654	NA	NA
2	142	"C:\Hannah's FYP\Black16_neu.jpg"	"pest"	"Black"	"eyes"	"Neg"	121	773	1	0	4	"Con"	6.65027904858742	6.65027904858742	773	NA	NA
2	143	"C:\Hannah's FYP\White3_neu.jpg"	"beauty"	"White"	"forehead"	"Pos"	212	878	2	0	4	"Con"	6.77764659363512	6.77764659363512	878	NA	NA
2	144	"C:\Hannah's FYP\Black8_neu.jpg"	"beauty"	"Black"	"forehead"	"Pos"	112	585	2	0	4	"Incon"	6.37161184723186	6.37161184723186	585	NA	NA
2	145	"C:\Hannah's FYP\Black14_neu.jpg"	"romance"	"Black"	"eyes"	"Pos"	122	650	2	0	4	"Incon"	6.47697236288968	6.47697236288968	650	NA	NA
2	146	"C:\Hannah's FYP\White23_neu.jpg"	"garbage"	"White"	"nose"	"Neg"	231	860	1	0	4	"Incon"	6.75693238924755	6.75693238924755	860	NA	NA
2	147	"C:\Hannah's FYP\White22_neu.jpg"	"smile"	"White"	"nose"	"Pos"	232	3218	2	0	4	"Con"	8.07651532755233	7.59369400871859	1944.57544831985	NA	NA
2	148	"C:\Hannah's FYP\White24_neu.jpg"	"vacation"	"White"	"nose"	"Pos"	232	818	2	0	4	"Con"	6.70686233660275	6.70686233660275	818	NA	NA
2	149	"C:\Hannah's FYP\White4_neu.jpg"	"poison"	"White"	"forehead"	"Neg"	211	737	1	0	4	"Incon"	6.60258789218934	6.60258789218934	737	NA	NA
