Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		cockroach			1		949	4	1
1	2		sewage			1		5675	4	1
1	3		pest			1		770	4	1
1	4		cockroach			1		835	4	1
1	5		vacation			2		864	5	1
1	6		smile			2		1060	5	1
1	7		pest			1		607	4	1
1	8		despair			1		847	4	1
1	9		disgust			1		672	4	1
1	10		garbage			1		701	4	1
1	11		poison			1		752	4	1
1	12		smile			2		686	5	1
1	13		vacation			2		718	5	1
1	14		sewage			1		647	4	1
1	15		success			2		751	5	1
1	16		vomit			1		637	4	1
1	17		vomit			1		483	4	1
1	18		garbage			1		779	4	1
1	19		beauty			2		718	5	1
1	20		romance			2		724	5	1
1	21		paradise			2		796	5	1
1	22		romance			2		610	5	1
1	23		joy			2		738	5	1
1	24		love			2		653	5	1
1	25		success			2		680	5	1
1	26		despair			1		665	4	1
1	27		poison			1		676	4	1
1	28		love			2		642	5	1
1	29		beauty			2		634	5	1
1	30		disgust			1		576	4	1
1	31		paradise			2		683	5	1
1	32		joy			2		619	5	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black9.jpg	sewage	1	forehead	1	111	842	4	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black11.jpg	vomit	1	eyes	1	121	694	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White12.jpg	vomit	2	nose	1	231	711	4	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black7.jpg	smile	1	eyes	2	122	650	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White21.jpg	vacation	2	nose	2	232	630	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black4.jpg	joy	1	nose	2	132	553	5	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black21.jpg	garbage	1	eyes	1	121	642	4	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White16.jpg	smile	2	eyes	2	222	713	5	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White2.jpg	sewage	2	nose	1	231	572	4	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White1.jpg	garbage	2	forehead	1	211	610	4	1
2	11	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black10.jpg	romance	1	nose	2	132	881	5	1
2	12	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White15.jpg	paradise	2	eyes	2	222	647	5	1
2	13	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black23.jpg	pest	1	nose	1	131	802	4	1
2	14	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White18.jpg	love	2	nose	2	232	526	5	1
2	15	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White17.jpg	despair	2	nose	1	231	540	4	1
2	16	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White18.jpg	smile	2	forehead	2	212	605	5	1
2	17	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White22.jpg	joy	2	nose	2	232	651	5	1
2	18	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White1.jpg	pest	2	nose	1	231	607	4	1
2	19	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black16.jpg	love	1	nose	2	132	493	5	1
2	20	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black19.jpg	beauty	1	eyes	2	122	691	5	1
2	21	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	poison	2	nose	1	231	642	4	1
2	22	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black14.jpg	romance	1	eyes	2	122	632	5	1
2	23	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White8.jpg	pest	2	nose	1	231	569	5	1
2	24	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black20.jpg	cockroach	1	forehead	1	111	642	4	1
2	25	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White13.jpg	despair	2	nose	1	231	645	4	1
2	26	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	paradise	2	forehead	2	212	697	5	1
2	27	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White8.jpg	sewage	2	eyes	1	221	581	4	1
2	28	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	cockroach	1	nose	1	131	525	4	1
