Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		garbage			1		970	4	1
1	2		romance			2		674	5	1
1	3		garbage			1		544	4	1
1	4		smile			2		611	5	1
1	5		success			2		579	5	1
1	6		vomit			1		542	4	1
1	7		smile			2		529	5	1
1	8		cockroach			1		562	4	1
1	9		pest			1		570	4	1
1	10		love			2		514	5	1
1	11		sewage			1		576	4	1
1	12		vacation			2		571	5	1
1	13		sewage			1		563	4	1
1	14		beauty			2		604	5	1
1	15		vacation			2		540	5	1
1	16		paradise			2		559	5	1
1	17		joy			2		551	5	1
1	18		despair			1		605	4	1
1	19		paradise			2		557	5	1
1	20		cockroach			1		547	4	1
1	21		vomit			1		601	4	1
1	22		poison			1		649	4	1
1	23		disgust			1		545	4	1
1	24		disgust			1		567	4	1
1	25		joy			2		543	5	1
1	26		love			2		498	5	1
1	27		romance			2		605	5	1
1	28		success			2		510	5	1
1	29		despair			1		555	5	1
1	30		pest			1		945	4	1
1	31		beauty			2		567	5	1
1	32		poison			1		751	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White5.jpg	pest	2	nose	1	231	3734	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black14.jpg	garbage	1	eyes	1	121	24461	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White3.jpg	sewage	2	nose	1	231	692	4	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black17.jpg	love	1	eyes	2	122	661	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black11.jpg	cockroach	1	eyes	1	121	753	4	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White12.jpg	joy	2	eyes	2	222	535	5	1
