Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		sewage			1		1126	4	1
1	2		cockroach			1		975	4	1
1	3		poison			1		922	4	1
1	4		vacation			2		842	5	1
1	5		despair			1		651	4	1
1	6		paradise			2		739	5	1
1	7		success			2		750	5	1
1	8		garbage			1		652	4	1
1	9		pest			1		775	4	1
1	10		success			2		842	5	1
1	11		smile			2		842	5	1
1	12		pest			1		875	4	1
1	13		poison			1		896	4	1
1	14		disgust			1		859	4	1
1	15		despair			1		879	4	1
1	16		paradise			2		823	5	1
1	17		beauty			2		738	5	1
1	18		romance			2		797	5	1
1	19		beauty			2		803	5	1
1	20		love			2		859	5	1
1	21		cockroach			1		751	4	1
1	22		garbage			1		668	4	1
1	23		vacation			2		666	5	1
1	24		joy			2		648	5	1
1	25		vomit			1		656	4	1
1	26		smile			2		651	5	1
1	27		sewage			1		659	4	1
1	28		disgust			1		638	5	1
1	29		vomit			1		791	4	1
1	30		joy			2		877	5	1
1	31		romance			2		802	5	1
1	32		love			2		843	5	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White15.jpg	love	2	forehead	2	212	771	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	smile	2	forehead	2	212	782	5	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black11.jpg	joy	1	forehead	2	112	706	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White24.jpg	romance	2	forehead	2	212	707	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black3.jpg	despair	1	forehead	1	111	591	4	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black19.jpg	sewage	1	forehead	1	111	674	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black10.jpg	vacation	1	forehead	2	112	619	5	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White1.jpg	despair	2	nose	1	231	602	4	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White20.jpg	joy	2	eyes	2	222	634	5	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	vacation	1	nose	2	132	601	5	1
