Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		despair			1		2065	4	1
1	2		despair			1		1863	4	1
1	3		sewage			1		803	4	1
1	4		garbage			1		571	4	1
1	5		poison			1		483	4	1
1	6		smile			2		556	5	1
1	7		success			2		545	5	1
1	8		vomit			1		503	4	1
1	9		love			2		546	5	1
1	10		cockroach			1		488	4	1
1	11		joy			2		544	5	1
1	12		vacation			2		579	5	1
1	13		beauty			2		446	5	1
1	14		cockroach			1		446	4	1
1	15		success			2		431	4	1
1	16		joy			2		1052	5	1
1	17		romance			2		503	5	1
1	18		paradise			2		498	5	1
1	19		poison			1		541	4	1
1	20		love			2		464	5	1
1	21		paradise			2		531	5	1
1	22		romance			2		468	5	1
1	23		garbage			1		505	4	1
1	24		disgust			1		599	4	1
1	25		sewage			1		439	4	1
1	26		pest			1		504	4	1
1	27		pest			1		419	4	1
1	28		disgust			1		398	4	1
1	29		vacation			2		531	5	1
1	30		beauty			2		436	5	1
1	31		smile			2		401	5	1
1	32		vomit			1		474	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black5.jpg	paradise	1	nose	2	132	763	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White11.jpg	success	2	eyes	2	222	575	5	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	success	1	forehead	2	112	655	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White9.jpg	vomit	2	eyes	1	221	531	4	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White11.jpg	joy	2	nose	2	232	558	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	vacation	1	nose	2	132	548	5	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black20.jpg	sewage	1	forehead	1	111	662	4	1
