Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		despair			1		821	4	1
1	2		vacation			2		640	5	1
1	3		paradise			2		632	5	1
1	4		romance			2		574	5	1
1	5		vomit			1		521	4	1
1	6		disgust			1		473	4	1
1	7		despair			1		591	4	1
1	8		cockroach			1		477	4	1
1	9		joy			2		498	5	1
1	10		success			2		541	5	1
1	11		success			2		496	5	1
1	12		sewage			1		539	4	1
1	13		pest			1		574	4	1
1	14		love			2		505	5	1
1	15		paradise			2		487	5	1
1	16		pest			1		527	4	1
1	17		sewage			1		464	4	1
1	18		smile			2		514	5	1
1	19		poison			1		496	4	1
1	20		beauty			2		411	5	1
1	21		poison			1		547	4	1
1	22		smile			2		393	5	1
1	23		garbage			1		511	4	1
1	24		romance			2		428	5	1
1	25		vacation			2		554	5	1
1	26		vomit			1		480	4	1
1	27		cockroach			1		456	4	1
1	28		garbage			1		523	4	1
1	29		love			2		411	5	1
1	30		joy			2		404	5	1
1	31		beauty			2		460	5	1
1	32		disgust			1		495	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black14.jpg	cockroach	1	forehead	1	111	689	4	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White4.jpg	vacation	2	nose	2	232	791	5	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black9.jpg	vacation	1	forehead	2	112	184	4	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black20.jpg	love	1	nose	2	132	401	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black19.jpg	beauty	1	eyes	2	122	468	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White11.jpg	sewage	2	eyes	1	221	485	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White18.jpg	vomit	2	forehead	1	211	577	4	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White19.jpg	love	2	forehead	2	212	396	5	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White1.jpg	despair	2	eyes	1	221	493	4	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black5.jpg	romance	1	eyes	2	122	486	5	1
2	11	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black11.jpg	garbage	1	eyes	1	121	498	4	1
2	12	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	pest	1	forehead	1	111	501	5	1
2	13	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black12.jpg	disgust	1	forehead	1	111	505	4	1
2	14	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White15.jpg	poison	2	nose	1	231	556	4	1
