Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		despair			1		2611	4	1
1	2		vacation			2		839	5	1
1	3		paradise			2		727	5	1
1	4		disgust			1		656	4	1
1	5		smile			2		651	5	1
1	6		pest			1		1171	4	1
1	7		vomit			1		1780	4	1
1	8		beauty			2		815	5	1
1	9		smile			2		666	5	1
1	10		disgust			1		712	4	1
1	11		paradise			2		557	5	1
1	12		success			2		499	5	1
1	13		love			2		398	5	1
1	14		romance			2		484	5	1
1	15		poison			1		860	4	1
1	16		vacation			2		527	5	1
1	17		joy			2		511	5	1
1	18		beauty			2		461	5	1
1	19		sewage			1		784	4	1
1	20		sewage			1		515	4	1
1	21		cockroach			1		1489	4	1
1	22		garbage			1		593	4	1
1	23		pest			1		719	4	1
1	24		love			2		616	5	1
1	25		joy			2		491	5	1
1	26		vomit			1		739	4	1
1	27		despair			1		558	4	1
1	28		success			2		516	5	1
1	29		romance			2		449	5	1
1	30		cockroach			1		514	4	1
1	31		garbage			1		511	4	1
1	32		poison			1		589	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White21.jpg	success	2	nose	2	232	890	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black20.jpg	romance	1	forehead	2	112	1022	5	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	love	2	eyes	2	222	916	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White17.jpg	beauty	2	nose	2	232	829	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black10.jpg	pest	1	nose	1	131	820	4	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black12.jpg	poison	1	nose	1	131	704	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black23.jpg	vacation	1	eyes	2	122	660	5	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White13.jpg	paradise	2	nose	2	232	533	5	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black4.jpg	joy	1	forehead	2	112	539	5	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White16.jpg	beauty	2	forehead	2	212	476	5	1
2	11	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White11.jpg	vomit	2	nose	1	231	1025	5	1
2	12	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black21.jpg	beauty	1	forehead	2	112	1127	5	1
2	13	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White11.jpg	romance	2	nose	2	232	536	5	1
2	14	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	vacation	2	eyes	2	222	553	5	1
2	15	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White4.jpg	paradise	2	nose	2	232	538	5	1
2	16	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black9.jpg	poison	1	eyes	1	121	635	4	1
2	17	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White9.jpg	poison	2	eyes	1	221	571	4	1
2	18	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black18.jpg	vacation	1	nose	2	132	516	5	1
2	19	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black13.jpg	smile	1	forehead	2	112	560	5	1
2	20	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White21.jpg	paradise	2	forehead	2	212	473	5	1
2	21	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black23.jpg	cockroach	1	eyes	1	121	588	4	1
2	22	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black22.jpg	poison	1	nose	1	131	568	4	1
2	23	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White20.jpg	smile	2	eyes	2	222	566	5	1
2	24	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White24.jpg	vacation	2	forehead	2	212	540	5	1
2	25	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White18.jpg	disgust	2	eyes	1	221	451	4	1
2	26	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	cockroach	2	forehead	1	211	510	4	1
2	27	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black10.jpg	cockroach	1	eyes	1	121	487	4	1
2	28	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	joy	2	forehead	2	212	554	5	1
2	29	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black13.jpg	love	1	eyes	2	122	507	5	1
2	30	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black16.jpg	beauty	1	nose	2	132	425	5	1
2	31	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White2.jpg	romance	2	eyes	2	222	437	5	1
