Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		smile			2		772	5	1
1	2		pest			1		744	4	1
1	3		romance			2		691	5	1
1	4		joy			2		579	5	1
1	5		despair			1		670	4	1
1	6		disgust			1		620	4	1
1	7		vacation			2		767	5	1
1	8		disgust			1		607	4	1
1	9		pest			1		671	4	1
1	10		love			2		605	5	1
1	11		love			2		638	5	1
1	12		beauty			2		611	5	1
1	13		vacation			2		628	5	1
1	14		romance			2		553	5	1
1	15		sewage			1		639	4	1
1	16		vomit			1		631	4	1
1	17		poison			1		557	4	1
1	18		joy			2		531	5	1
1	19		vomit			1		611	4	1
1	20		cockroach			1		707	4	1
1	21		beauty			2		617	5	1
1	22		smile			2		604	5	1
1	23		paradise			2		620	5	1
1	24		success			2		623	5	1
1	25		sewage			1		563	4	1
1	26		paradise			2		555	5	1
1	27		poison			1		577	4	1
1	28		success			2		636	5	1
1	29		garbage			1		577	4	1
1	30		garbage			1		524	4	1
1	31		cockroach			1		573	4	1
1	32		despair			1		568	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White23.jpg	joy	2	nose	2	232	677	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black2.jpg	despair	1	nose	1	131	571	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White3.jpg	joy	2	eyes	2	222	479	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black22.jpg	sewage	1	eyes	1	121	578	4	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black23.jpg	poison	1	forehead	1	111	537	4	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black19.jpg	vomit	1	nose	1	131	535	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	joy	2	forehead	2	212	440	5	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	success	1	nose	2	132	536	5	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black3.jpg	pest	1	nose	1	131	529	4	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	cockroach	2	eyes	1	221	573	4	1
