Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		vomit			1		729	4	1
1	2		joy			2		626	5	1
1	3		love			2		615	5	1
1	4		beauty			2		506	5	1
1	5		smile			2		616	5	1
1	6		poison			1		763	4	1
1	7		disgust			1		459	4	1
1	8		joy			2		558	5	1
1	9		success			2		615	5	1
1	10		smile			2		474	5	1
1	11		vacation			2		623	5	1
1	12		love			2		434	5	1
1	13		pest			1		560	4	1
1	14		vacation			2		440	5	1
1	15		cockroach			1		425	5	1
1	16		romance			2		708	5	1
1	17		despair			1		569	4	1
1	18		pest			1		674	4	1
1	19		cockroach			1		575	5	1
1	20		despair			1		1338	4	1
1	21		romance			2		1278	5	1
1	22		paradise			2		836	4	1
1	23		sewage			1		961	4	1
1	24		vomit			1		602	4	1
1	25		beauty			2		538	5	1
1	26		disgust			1		589	4	1
1	27		garbage			1		507	4	1
1	28		sewage			1		521	4	1
1	29		poison			1		553	4	1
1	30		success			2		607	5	1
1	31		paradise			2		607	5	1
1	32		garbage			1		783	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White24.jpg	vomit	2	forehead	1	211	596	4	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White8.jpg	garbage	2	forehead	1	211	541	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	smile	2	nose	2	232	665	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	romance	1	forehead	2	112	548	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	smile	2	nose	2	232	541	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White22.jpg	cockroach	2	nose	1	231	590	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	vacation	2	eyes	2	222	471	4	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	garbage	1	forehead	1	111	600	4	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	paradise	1	nose	2	132	579	5	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White18.jpg	pest	2	eyes	1	221	511	4	1
