Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		joy			2		4348	5	1
1	2		garbage			1		1403	4	1
1	3		sewage			1		892	4	1
1	4		success			2		775	5	1
1	5		sewage			1		922	4	1
1	6		cockroach			1		1162	4	1
1	7		vacation			2		891	5	1
1	8		disgust			1		899	4	1
1	9		vomit			1		782	4	1
1	10		cockroach			1		818	4	1
1	11		vomit			1		797	4	1
1	12		love			2		706	5	1
1	13		pest			1		792	4	1
1	14		despair			1		718	4	1
1	15		paradise			2		884	5	1
1	16		beauty			2		748	5	1
1	17		success			2		666	5	1
1	18		smile			2		664	5	1
1	19		disgust			1		802	4	1
1	20		smile			2		1115	5	1
1	21		pest			1		625	4	1
1	22		romance			2		692	5	1
1	23		love			2		567	5	1
1	24		poison			1		751	4	1
1	25		paradise			2		653	5	1
1	26		romance			2		856	4	1
1	27		vacation			2		1131	5	1
1	28		poison			1		740	4	1
1	29		joy			2		927	5	1
1	30		beauty			2		911	5	1
1	31		garbage			1		653	4	1
1	32		despair			1		936	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	paradise	1	forehead	2	112	889	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	poison	1	forehead	1	111	898	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White15.jpg	success	2	forehead	2	212	750	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black16.jpg	disgust	1	nose	1	131	748	4	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White19.jpg	vomit	2	forehead	1	211	1000	4	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White17.jpg	cockroach	2	eyes	1	221	1049	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black12.jpg	despair	1	eyes	1	121	773	4	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	pest	2	nose	1	231	779	4	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White24.jpg	vacation	2	eyes	2	222	921	5	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White16.jpg	romance	2	forehead	2	212	728	5	1
