Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		pest			1		971	4	1
1	2		poison			1		627	4	1
1	3		romance			2		761	5	1
1	4		poison			1		602	4	1
1	5		despair			1		570	4	1
1	6		garbage			1		690	4	1
1	7		paradise			2		659	5	1
1	8		sewage			1		590	4	1
1	9		vomit			1		571	4	1
1	10		pest			1		612	4	1
1	11		romance			2		583	5	1
1	12		love			2		562	5	1
1	13		vomit			1		506	4	1
1	14		smile			2		616	5	1
1	15		beauty			2		619	5	1
1	16		cockroach			1		606	4	1
1	17		beauty			2		622	5	1
1	18		vacation			2		609	4	1
1	19		cockroach			1		721	4	1
1	20		disgust			1		634	4	1
1	21		vacation			2		592	5	1
1	22		success			2		637	5	1
1	23		smile			2		563	5	1
1	24		sewage			1		603	4	1
1	25		joy			2		652	5	1
1	26		success			2		775	5	1
1	27		joy			2		634	5	1
1	28		garbage			1		527	4	1
1	29		despair			1		640	4	1
1	30		paradise			2		568	5	1
1	31		disgust			1		640	4	1
1	32		love			2		569	5	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White7.jpg	pest	2	eyes	1	221	606	4	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black3.jpg	pest	1	nose	1	131	612	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	poison	2	forehead	1	211	536	4	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black6.jpg	love	1	eyes	2	122	518	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White12.jpg	joy	2	forehead	2	212	508	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black3.jpg	vomit	1	forehead	1	111	653	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White24.jpg	vomit	2	eyes	1	221	531	4	1
