Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		smile			2		3449	5	1
1	2		garbage			1		754	4	1
1	3		love			2		560	5	1
1	4		beauty			2		520	5	1
1	5		disgust			1		489	4	1
1	6		vomit			1		561	4	1
1	7		romance			2		521	5	1
1	8		garbage			1		538	4	1
1	9		romance			2		477	5	1
1	10		sewage			1		626	4	1
1	11		poison			1		648	4	1
1	12		vacation			2		560	5	1
1	13		disgust			1		473	4	1
1	14		despair			1		702	4	1
1	15		beauty			2		513	5	1
1	16		love			2		495	5	1
1	17		paradise			2		506	5	1
1	18		success			2		440	5	1
1	19		poison			1		584	4	1
1	20		vacation			2		659	5	1
1	21		joy			2		478	5	1
1	22		pest			1		548	4	1
1	23		success			2		537	5	1
1	24		cockroach			1		508	4	1
1	25		smile			2		522	5	1
1	26		vomit			1		490	4	1
1	27		cockroach			1		563	4	1
1	28		sewage			1		459	4	1
1	29		paradise			2		510	5	1
1	30		joy			2		428	5	1
1	31		pest			1		489	4	1
1	32		despair			1		482	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	disgust	2	eyes	1	221	769	4	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White16.jpg	disgust	2	eyes	1	221	623	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White4.jpg	cockroach	2	eyes	1	221	576	4	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White24.jpg	joy	2	nose	2	232	553	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black19.jpg	sewage	1	eyes	1	121	607	4	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White22.jpg	disgust	2	forehead	1	211	589	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black15.jpg	success	1	nose	2	132	668	5	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black16.jpg	beauty	1	eyes	2	122	853	5	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black11.jpg	love	1	nose	2	132	576	5	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black24.jpg	joy	1	nose	2	132	588	5	1
2	11	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black13.jpg	success	1	nose	2	132	631	5	1
2	12	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	love	2	nose	2	232	624	5	1
2	13	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White9.jpg	cockroach	2	forehead	1	211	641	4	1
2	14	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	cockroach	2	forehead	1	211	650	4	1
2	15	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black23.jpg	disgust	1	eyes	1	121	606	4	1
2	16	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White8.jpg	pest	2	nose	1	231	572	4	1
2	17	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White19.jpg	paradise	2	nose	2	232	874	5	1
2	18	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White18.jpg	smile	2	forehead	2	212	688	5	1
2	19	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black5.jpg	beauty	1	forehead	2	112	639	5	1
2	20	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White21.jpg	poison	2	forehead	1	211	552	4	1
2	21	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black14.jpg	romance	1	nose	2	132	552	5	1
2	22	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black21.jpg	disgust	1	nose	1	131	625	4	1
2	23	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black1.jpg	romance	1	nose	2	132	594	5	1
2	24	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White23.jpg	success	2	forehead	2	212	630	5	1
2	25	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White15.jpg	vomit	2	nose	1	231	633	4	1
2	26	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White16.jpg	success	2	eyes	2	222	634	5	1
2	27	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White4.jpg	pest	2	forehead	1	211	587	4	1
