Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		paradise			2		1201	4	1
1	2		vomit			1		6025	4	1
1	3		love			2		553	5	1
1	4		despair			1		654	4	1
1	5		despair			1		521	4	1
1	6		success			2		442	5	1
1	7		garbage			1		762	4	1
1	8		poison			1		490	5	1
1	9		sewage			1		1139	4	1
1	10		garbage			1		558	4	1
1	11		beauty			2		451	5	1
1	12		pest			1		660	4	1
1	13		vomit			1		527	4	1
1	14		disgust			1		495	4	1
1	15		beauty			2		474	5	1
1	16		vacation			2		880	5	1
1	17		paradise			2		440	5	1
1	18		pest			1		536	4	1
1	19		sewage			1		556	4	1
1	20		cockroach			1		673	4	1
1	21		joy			2		543	5	1
1	22		disgust			1		466	4	1
1	23		love			2		488	5	1
1	24		success			2		512	5	1
1	25		joy			2		414	5	1
1	26		smile			2		457	5	1
1	27		smile			2		316	5	1
1	28		romance			2		289	5	1
1	29		cockroach			1		561	4	1
1	30		vacation			2		506	5	1
1	31		romance			2		439	5	1
1	32		poison			1		520	4	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black17.jpg	paradise	1	eyes	2	122	912	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White23.jpg	joy	2	forehead	2	212	567	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black21.jpg	poison	1	nose	1	131	635	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black5.jpg	sewage	1	nose	1	131	910	4	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	paradise	2	eyes	2	222	490	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black17.jpg	despair	1	eyes	1	121	699	4	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White4.jpg	cockroach	2	eyes	1	221	743	4	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White21.jpg	vacation	2	nose	2	232	515	5	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black10.jpg	pest	1	forehead	1	111	711	4	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White4.jpg	beauty	2	eyes	2	222	552	5	1
2	11	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White8.jpg	paradise	2	eyes	2	222	457	5	1
2	12	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White13.jpg	joy	2	nose	2	232	410	5	1
2	13	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White1.jpg	pest	2	nose	1	231	480	4	1
