Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		disgust			1		889	5	1
1	2		poison			1		354	5	1
1	3		success			2		431	5	1
1	4		love			2		285	5	1
1	5		romance			2		301	5	1
1	6		romance			2		288	5	1
1	7		joy			2		288	5	1
1	8		garbage			1		289	5	1
1	9		vacation			2		257	5	1
1	10		poison			1		236	5	1
1	11		beauty			2		289	5	1
1	12		disgust			1		258	5	1
1	13		cockroach			1		268	5	1
1	14		despair			1		218	5	1
1	15		joy			2		221	5	1
1	16		love			2		272	5	1
1	17		success			2		237	5	1
1	18		paradise			2		227	5	1
1	19		pest			1		169	5	1
1	20		smile			2		273	5	1
1	21		beauty			2		254	5	1
1	22		smile			2		249	5	1
1	23		sewage			1		194	5	1
1	24		vomit			1		207	5	1
1	25		sewage			1		191	5	1
1	26		garbage			1		205	5	1
1	27		vomit			1		189	5	1
1	28		pest			1		235	5	1
1	29		despair			1		144	5	1
1	30		cockroach			1		291	5	1
1	31		paradise			2		435	5	1
1	32		vacation			2		321	5	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White13.jpg	romance	2	forehead	2	212	3451	5	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White14.jpg	smile	2	forehead	2	212	726	5	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black17.jpg	poison	1	eyes	1	121	665	4	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black2.jpg	vomit	1	forehead	1	111	837	4	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black21.jpg	success	1	eyes	2	122	611	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	paradise	1	forehead	2	112	675	5	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White8.jpg	pest	2	nose	1	231	716	4	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black9.jpg	disgust	1	eyes	1	121	748	4	1
2	9	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black8.jpg	garbage	1	eyes	1	121	677	4	1
2	10	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White7.jpg	paradise	2	forehead	2	212	577	5	1
2	11	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black16.jpg	beauty	1	eyes	2	122	634	5	1
