Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Condition	RT	Key	Error
1	1		disgust			1		931	5	1
1	2		beauty			2		275	5	1
1	3		joy			2		241	5	1
1	4		disgust			1		169	5	1
1	5		romance			2		178	5	1
1	6		cockroach			1		172	5	1
1	7		poison			1		199	5	1
1	8		success			2		135	5	1
1	9		vomit			1		138	5	1
1	10		poison			1		141	5	1
1	11		garbage			1		144	5	1
1	12		love			2		211	5	1
1	13		vacation			2		115	5	1
1	14		success			2		129	5	1
1	15		joy			2		161	5	1
1	16		garbage			1		89	5	1
1	17		paradise			2		145	5	1
1	18		vacation			2		151	5	1
1	19		despair			1		92	5	1
1	20		sewage			1		135	5	1
1	21		vomit			1		186	5	1
1	22		smile			2		152	5	1
1	23		paradise			2		173	5	1
1	24		pest			1		264	5	1
1	25		despair			1		243	5	1
1	26		cockroach			1		219	5	1
1	27		beauty			2		270	5	1
1	28		sewage			1		140	5	1
1	29		love			2		111	5	1
1	30		smile			2		460	5	1
1	31		romance			2		143	5	1
1	32		pest			1		114	5	1
2	1	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black6.jpg	despair	1	eyes	1	121	5520	4	1
2	2	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White21.jpg	vomit	2	forehead	1	211	650	4	1
2	3	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White10.jpg	success	2	forehead	2	212	525	5	1
2	4	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White5.jpg	romance	2	forehead	2	212	544	5	1
2	5	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White6.jpg	love	2	nose	2	232	511	5	1
2	6	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White20.jpg	success	2	forehead	2	212	493	5	1
2	7	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\Black5.jpg	love	1	nose	2	132	467	5	1
2	8	C:\Experiments\Bartholow Lab\Hannah Volpert\stimuli\White11.jpg	despair	2	nose	1	231	388	4	1
